Site,count
,2765
"right lower lobe, right middle lobe",2092
right lower lobe,1575
left lower lobe,444
précisé,395
"right middle lobe, right lower lobe",361
"left lower lobe, lingula",139
right middle lobe,51
"lingula, left lower lobe",37
é,33
"right lower lobe, – right middle lobe",23
"right lower lobe, lingula",11
right,11
lingula,11
à right,9
"right upper lobe, right lower lobe",8
"left lower lobe, – lingula",7
"lobe, inférieur left",6
"lobe, inférieur right",6
"right middle lobe, – right lower lobe",6
"lobe, moyen",6
"lobe, moyen lobe, inférieur right",4
right upper lobe,4
pbd,3
left,3
"right lower lobe, right upper lobe",3
"middle lower lobe, right lower lobe",3
right right middle lobe,2
"right middle lobe, left lower lobe",2
"left lower lobe, right middle lobe",2
"right lower lobe, pyramide basale",2
"right lower lobe, left lower lobe",2
précié,2
left upper lobe,2
à left,2
"lingula, right lower lobe",2
"right middle lobe, right",1
mright,1
pyramide basale,1
"lingula, li",1
"left upper lobe, left lower lobe",1
"right upper lobe, right middle lobe",1
mc,1
° à right,1
"right middle lobe, li",1
"left lower lobe, left upper lobe",1
"lingula, – lobe, inférieur left",1
"right lower lobe, right middle lobed",1
"right lower lobe, ml",1
"lobe, inférieur",1
"right middle lobe, lin",1
"left lower lobe, left lower lobeula",1
"left lower lobe, – curight middle lobeen",1
"right upper lobe, – right lower lobe",1
curight middle lobeen left lower lobe,1
"right middle lobe, led",1
"lingula, – left lower lobe",1
pbg,1
